latitude, longitude, ocurrences
41.873891,-87.6861196667,3
41.873847,-87.686224,1
41.8738422,-87.6861066,5
41.8737834,-87.6861728,5
41.873803,-87.686161,1
41.8737122,-87.6861994,5
41.873732,-87.686151,1
41.87365325,-87.6862115,4
41.873662,-87.6861345,2
41.873939,-87.6859,2
41.8739006667,-87.685993,6
41.8738985,-87.68591275,4
41.8738875,-87.68577925,4
41.87391875,-87.68570175,4
41.873894,-87.6855665714,7
41.873895,-87.68546825,4
41.8739086667,-87.6853546667,6
41.873901,-87.6852474,5
41.8738353333,-87.685938,3
41.8738675,-87.685775,2
41.8738535,-87.685716,2
41.8738343333,-87.6854816667,3
41.873838,-87.6853645,2
41.873933,-87.685039,1
41.8739096,-87.6851454,5
41.8739,-87.685034,5
41.873935,-87.684846,1
41.87391175,-87.684939,4
41.873908,-87.6848258333,6
41.873935,-87.684725,1
41.873946,-87.6845853333,3
41.8739086,-87.6847016,5
41.8738935,-87.68458975,4
41.873944,-87.684334,1
41.8739136667,-87.6844786667,6
41.873906,-87.68440625,4
41.873855,-87.6851186667,3
41.873822,-87.685072,1
41.8738456667,-87.684806,3
41.873837,-87.6845355,2
41.873596,-87.6861856,5
41.873614,-87.68613,1
41.8735153333,-87.6862103333,3
41.873539,-87.686154,2
41.8734745,-87.68620575,4
41.8734803333,-87.6861423333,3
41.873389,-87.686201,1
41.873397,-87.686153,1
41.8733593333,-87.6862253333,3
41.8733575,-87.68614975,4
41.8732835,-87.6861755,2
41.873319,-87.686147,1
41.8732476,-87.686193,5
41.8732295,-87.686125,2
41.873154,-87.686199,1
41.8731723333,-87.6861403333,3
41.873122,-87.6862193333,3
41.8731075,-87.68615,2
41.8730613333,-87.6861786667,3
41.8730645,-87.6861545,2
41.872996,-87.6861933333,3
41.872991,-87.686132,4
41.8729265,-87.686196,2
41.87291,-87.686118,1
41.8728603333,-87.6862086667,3
41.872865,-87.68615,3
41.872815,-87.686166,1
41.872797,-87.686153,3
41.872744,-87.68618625,4
41.872755,-87.6861156667,3
41.872676,-87.686194,1
41.872669,-87.686136,3
41.8739565,-87.6843015,2
41.8739064,-87.6842604,5
41.873913,-87.6841815,6
41.873953,-87.6840263333,3
41.873934,-87.68394,2
41.87389825,-87.6840665,4
41.8739131429,-87.6839341429,7
41.8739505,-87.683711,2
41.87390075,-87.6838295,4
41.873893,-87.68369,3
41.873941,-87.6836435,2
41.8739166667,-87.6836206667,6
41.8739044,-87.683533,5
41.873838,-87.6842645,2
41.87384,-87.683995,2
41.8738446667,-87.6837773333,3
41.873952,-87.6834046667,3
41.873949,-87.683335,1
41.8739074,-87.6833988,5
41.8739083333,-87.683303,6
41.873944,-87.683155,2
41.873983,-87.683093,1
41.873919,-87.68318425,4
41.8739092,-87.6830738,5
41.8739485,-87.6829925,2
41.873948,-87.6828335,2
41.8739167143,-87.6829537143,7
41.873921,-87.682835,1
41.873968,-87.682735,3
41.87393525,-87.68265825,4
41.873904,-87.68276,2
41.8739146667,-87.6826488333,6
41.8738355,-87.683405,2
41.873841,-87.683099,2
41.8738465,-87.6827665,2
41.873949,-87.682525,2
41.8739543333,-87.6824298333,6
41.8739165,-87.682446,4
41.873937,-87.682277,2
41.87395075,-87.68220775,4
41.8739135,-87.682294,4
41.8739554,-87.682091,5
41.8739355,-87.6819505,2
41.8739113333,-87.682124,3
41.8739045,-87.6819735,2
41.8739566667,-87.6818861667,6
41.8739505,-87.6817725,4
41.8739126667,-87.6818843333,3
41.8738905,-87.681808,2
41.873852,-87.682419,2
41.8738506667,-87.6819983333,3
41.8739523333,-87.6816468333,6
41.87396,-87.6815346,5
41.873911,-87.681673,3
41.8738975,-87.68154775,4
41.87395075,-87.681435,4
41.87396075,-87.681366,4
41.873885,-87.681417,1
41.873914,-87.6813216667,3
41.873998,-87.681262,1
41.874001,-87.680905,1
41.87396,-87.681235,5
41.8739541667,-87.6811211667,6
41.873893,-87.6812165,2
41.873903,-87.681146,1
41.87396825,-87.68100075,4
41.87395325,-87.68092925,4
41.8739165,-87.681006,2
41.873914,-87.680916,2
41.873844,-87.681503,1
41.873846,-87.681117,2
41.874005,-87.680616,1
41.8739652,-87.6808092,5
41.8739695,-87.6806638333,6
41.873922,-87.680786,2
41.8739155,-87.6806795,2
41.8739544,-87.6805734,5
41.87396725,-87.68047325,4
41.873918,-87.680513,1
41.8740085,-87.6803,2
41.874016,-87.68004,1
41.8739645,-87.68037075,4
41.8739731429,-87.6802454286,7
41.873924,-87.6803595,2
41.8739624,-87.6801526,5
41.8739638333,-87.6800326667,6
41.873921,-87.680187,1
