latitude, longitude, ocurrences
41.8738901579,-87.6861185,70.476775543
41.8738152297,-87.6861576892,88.8880049228
41.8738979643,-87.6859457976,103.164999308
41.8738962333,-87.6857606167,90.9620771332
41.8738085556,-87.6859606667,73.781241568
41.8737292,-87.6861767,80.1043689216
41.8736397742,-87.6861706774,75.7001209537
41.8735613455,-87.6861755636,73.4195064738
41.8734776774,-87.6861780806,74.2234855894
41.8738988286,-87.6855948429,92.935063131
41.873898589,-87.6853851781,93.3322311524
41.8739030357,-87.6852216607,89.1292489211
41.8739039103,-87.6850283846,94.7483062891
41.8739043333,-87.6848349074,87.2347534192
41.8739043692,-87.6846747385,89.627354527
41.8739083188,-87.6844644493,91.0983159155
41.8739043125,-87.6842854583,85.5002996654
41.8733930517,-87.6861744483,72.1211420342
41.8732240179,-87.6861759643,70.9086469455
41.873136873,-87.6861685397,72.6274346489
41.8729682295,-87.6861697869,70.463423804
41.8728007385,-87.6861657692,71.3839564611
41.8739729167,-87.6839295556,71.4356601906
41.8739729778,-87.6837363778,71.3188077408
41.8739707949,-87.6835418462,72.7640609107
41.8739034545,-87.6841146818,89.9799272797
41.8739140645,-87.6839126935,88.1863192689
41.8739118511,-87.6837362766,82.779079051
41.8739131148,-87.6835525082,82.5460220614
41.8739703673,-87.6833616939,75.4393303792
41.8739736875,-87.6831718125,74.8197553163
41.8739691628,-87.6829914651,74.6335962912
41.8739747,-87.6828108333,80.0993428558
41.8739129524,-87.6833682143,77.0179102034
41.87391712,-87.6831835,76.4144002862
41.8739192439,-87.6829932195,71.1448048213
41.8739679565,-87.6826211087,77.3601919731
41.8739735079,-87.6824528254,83.9432201113
41.8739751111,-87.6822585,83.5830581666
41.8739720769,-87.6820889538,88.1760282859
41.8739766667,-87.6818804583,95.0206335734
41.8739736406,-87.6816959531,94.5802762538
41.8739776351,-87.6815337568,99.6887229085
41.873981939,-87.6813309268,101.569008424
41.8739767213,-87.6811470328,90.8932798034
41.8739838,-87.6809710857,90.4676918092
41.8739852813,-87.6807795625,91.0854618062
41.8739829054,-87.6805972432,90.7707533777
41.873987,-87.6804170926,84.7053658059
41.8739840658,-87.6802404079,89.9144511367
41.8739873906,-87.6800462344,89.1204140022
41.8739833088,-87.6798604118,90.0915649058
41.8739884154,-87.6796684462,87.0334375892
41.8739898136,-87.6794938644,82.7278629879
41.8739853175,-87.679302619,83.662306723
