latitude, longitude, ocurrences
41.8692415886,-87.6714662514,1
41.8692434599,-87.671239443,1
41.869239787,-87.6710182957,1
41.8692370392,-87.6707980833,1
41.8693585441,-87.6690016029,1
41.8692355123,-87.6705710936,1
41.8692372745,-87.6703429853,1
41.8692383061,-87.6701243418,1
41.8692374286,-87.6698958473,1
41.8692420547,-87.6696678159,1
41.8692441982,-87.6694454147,1
41.8692512601,-87.6692288386,1
41.869242417,-87.6690176996,1
41.8691202736,-87.6689862488,1
41.8670298204,-87.6564705874,1
41.8670330681,-87.6558108848,1
41.867116,-87.6540167946,1
41.8671201344,-87.6537991882,1
41.867123901,-87.6535744307,1
41.8671271212,-87.6533420808,1
41.8671266796,-87.6531226553,1
41.8671316458,-87.6529038542,1
41.8671332589,-87.6526809086,1
41.8671381457,-87.652451608,1
41.8671393744,-87.652223359,1
41.8671412211,-87.6520051,1
41.8671421095,-87.6517823582,1
41.8671411818,-87.651551622,1
41.8671397805,-87.6513321902,1
41.8671403641,-87.6511144378,1
